La Plata County,la-plata-county-co,1401,Colorado,08067,56310
Larimer County,larimer-county-co,1401,Colorado,08069,350518
Las Animas County,las-animas-county-co,1401,Colorado,08071,14503
Lincoln County,lincoln-county-co,1401,Colorado,08073,5610
Logan County,logan-county-co,1401,Colorado,08075,21528
Mesa County,mesa-county-co,1401,Colorado,08077,153207
Mineral County,mineral-county-co,1401,Colorado,08079,776
Moffat County,moffat-county-co,1401,Colorado,08081,13188
Montezuma County,montezuma-county-co,1401,Colorado,08083,26158
Montrose County,montrose-county-co,1401,Colorado,08085,42214
Morgan County,morgan-county-co,1401,Colorado,08087,28558
Otero County,otero-county-co,1401,Colorado,08089,18432
Ouray County,ouray-county-co,1401,Colorado,08091,4833
Park County,park-county-co,1401,Colorado,08093,18556
Phillips County,phillips-county-co,1401,Colorado,08095,4286
Pitkin County,pitkin-county-co,1401,Colorado,08097,17950
Prowers County,prowers-county-co,1401,Colorado,08099,12164
Pueblo County,pueblo-county-co,1401,Colorado,08101,167529
Rio Blanco County,rio-blanco-county-co,1401,Colorado,08103,6336
Rio Grande County,rio-grande-county-co,1401,Colorado,08105,11250
Routt County,routt-county-co,1401,Colorado,08107,25733
Saguache County,saguache-county-co,1401,Colorado,08109,6843
San Juan County,san-juan-county-co,1401,Colorado,08111,762
San Miguel County,san-miguel-county-co,1401,Colorado,08113,8191
Sedgwick County,sedgwick-county-co,1401,Colorado,08115,2303
Summit County,summit-county-co,1401,Colorado,08117,31007
Teller County,teller-county-co,1401,Colorado,08119,25083
Washington County,washington-county-co,1401,Colorado,08121,4909
Weld County,weld-county-co,1401,Colorado,08123,314305
Yuma County,yuma-county-co,1401,Colorado,08125,10020
Fairfield County,fairfield-county-ct,1402,Connecticut,09001,943823
Hartford County,hartford-county-ct,1402,Connecticut,09003,892697
Litchfield County,litchfield-county-ct,1402,Connecticut,09005,181111
Middlesex County,middlesex-county-ct,1402,Connecticut,09007,162682
New Haven County,new-haven-county-ct,1402,Connecticut,09009,857620
New London County,new-london-county-ct,1402,Connecticut,09011,266784
Tolland County,tolland-county-ct,1402,Connecticut,09013,150921
Windham County,windham-county-ct,1402,Connecticut,09015,117027
Kent County,kent-county-de,1403,Delaware,10001,178550
New Castle County,new-castle-county-de,1403,Delaware,10003,559335
Sussex County,sussex-county-de,1403,Delaware,10005,229286
District of Columbia,district-of-columbia-dc,1404,District of Columbia,11001,702455
Alachua County,alachua-county-fl,1405,Florida,12001,269956
Baker County,baker-county-fl,1405,Florida,12003,28355
Bay County,bay-county-fl,1405,Florida,12005,185287
Bradford County,bradford-county-fl,1405,Florida,12007,27732
Brevard County,brevard-county-fl,1405,Florida,12009,596849
Broward County,broward-county-fl,1405,Florida,12011,1951260
Calhoun County,calhoun-county-fl,1405,Florida,12013,14587
Charlotte County,charlotte-county-fl,1405,Florida,12015,184998
Citrus County,citrus-county-fl,1405,Florida,12017,147929
Clay County,clay-county-fl,1405,Florida,12019,216072
Collier County,collier-county-fl,1405,Florida,12021,378488
Columbia County,columbia-county-fl,1405,Florida,12023,70503
DeSoto County,desoto-county-fl,1405,Florida,12027,37489
Dixie County,dixie-county-fl,1405,Florida,12029,16700
Duval County,duval-county-fl,1405,Florida,12031,950181
Escambia County,escambia-county-fl,1405,Florida,12033,315534
Flagler County,flagler-county-fl,1405,Florida,12035,112067
Franklin County,franklin-county-fl,1405,Florida,12037,11736
Gadsden County,gadsden-county-fl,1405,Florida,12039,45894
Gilchrist County,gilchrist-county-fl,1405,Florida,12041,18256
Glades County,glades-county-fl,1405,Florida,12043,13724
Gulf County,gulf-county-fl,1405,Florida,12045,16164
Hamilton County,hamilton-county-fl,1405,Florida,12047,14310
Hardee County,hardee-county-fl,1405,Florida,12049,27245
Hendry County,hendry-county-fl,1405,Florida,12051,41556
Hernando County,hernando-county-fl,1405,Florida,12053,190865
Highlands County,highlands-county-fl,1405,Florida,12055,105424
Hillsborough County,hillsborough-county-fl,1405,Florida,12057,1436888
Holmes County,holmes-county-fl,1405,Florida,12059,19477
Indian River County,indian-river-county-fl,1405,Florida,12061,157413
Jackson County,jackson-county-fl,1405,Florida,12063,48305
Jefferson County,jefferson-county-fl,1405,Florida,12065,14288
Lafayette County,lafayette-county-fl,1405,Florida,12067,8732
Lake County,lake-county-fl,1405,Florida,12069,356495
Lee County,lee-county-fl,1405,Florida,12071,754610
Leon County,leon-county-fl,1405,Florida,12073,292502
Levy County,levy-county-fl,1405,Florida,12075,40770
Liberty County,liberty-county-fl,1405,Florida,12077,8457
Madison County,madison-county-fl,1405,Florida,12079,18529
Manatee County,manatee-county-fl,1405,Florida,12081,394855
Marion County,marion-county-fl,1405,Florida,12083,359977
Martin County,martin-county-fl,1405,Florida,12085,160912
Miami-Dade County,miami-dade-county-fl,1405,Florida,12086,2761581
Monroe County,monroe-county-fl,1405,Florida,12087,75027
Nassau County,nassau-county-fl,1405,Florida,12089,85832
Okaloosa County,okaloosa-county-fl,1405,Florida,12091,207269
Okeechobee County,okeechobee-county-fl,1405,Florida,12093,41537
Orange County,orange-county-fl,1405,Florida,12095,1380645
Osceola County,osceola-county-fl,1405,Florida,12097,367990
Palm Beach County,palm-beach-county-fl,1405,Florida,12099,1485941
Pasco County,pasco-county-fl,1405,Florida,12101,539630
Pinellas County,pinellas-county-fl,1405,Florida,12103,975280
Polk County,polk-county-fl,1405,Florida,12105,708009
Putnam County,putnam-county-fl,1405,Florida,12107,74163
St. Johns County,st-johns-county-fl,1405,Florida,12109,254261
St. Lucie County,st-lucie-county-fl,1405,Florida,12111,321128
Santa Rosa County,santa-rosa-county-fl,1405,Florida,12113,179349
Sarasota County,sarasota-county-fl,1405,Florida,12115,426718
Seminole County,seminole-county-fl,1405,Florida,12117,467832
Sumter County,sumter-county-fl,1405,Florida,12119,128754
Suwannee County,suwannee-county-fl,1405,Florida,12121,44191
Taylor County,taylor-county-fl,1405,Florida,12123,21623
Union County,union-county-fl,1405,Florida,12125,14940
Volusia County,volusia-county-fl,1405,Florida,12127,547538
Wakulla County,wakulla-county-fl,1405,Florida,12129,32461
Walton County,walton-county-fl,1405,Florida,12131,71375
Washington County,washington-county-fl,1405,Florida,12133,24880
Appling County,appling-county-ga,1406,Georgia,13001,18507
Atkinson County,atkinson-county-ga,1406,Georgia,13003,8297
Bacon County,bacon-county-ga,1406,Georgia,13005,11185
Baker County,baker-county-ga,1406,Georgia,13007,3092
Baldwin County,baldwin-county-ga,1406,Georgia,13009,44823
Banks County,banks-county-ga,1406,Georgia,13011,18988
Barrow County,barrow-county-ga,1406,Georgia,13013,80809
Bartow County,bartow-county-ga,1406,Georgia,13015,106408
Ben Hill County,ben-hill-county-ga,1406,Georgia,13017,16787
Berrien County,berrien-county-ga,1406,Georgia,13019,19252
Bibb County,bibb-county-ga,1406,Georgia,13021,153095
Bleckley County,bleckley-county-ga,1406,Georgia,13023,12838
Brantley County,brantley-county-ga,1406,Georgia,13025,18897
Brooks County,brooks-county-ga,1406,Georgia,13027,15513
Bryan County,bryan-county-ga,1406,Georgia,13029,38109
Bulloch County,bulloch-county-ga,1406,Georgia,13031,77296
Burke County,burke-county-ga,1406,Georgia,13033,22423
Butts County,butts-county-ga,1406,Georgia,13035,24193
Calhoun County,calhoun-county-ga,1406,Georgia,13037,6352
Camden County,camden-county-ga,1406,Georgia,13039,53677
Candler County,candler-county-ga,1406,Georgia,13043,10836
Carroll County,carroll-county-ga,1406,Georgia,13045,118121
Catoosa County,catoosa-county-ga,1406,Georgia,13047,67420
Charlton County,charlton-county-ga,1406,Georgia,13049,12968
Chatham County,chatham-county-ga,1406,Georgia,13051,289195
Chattahoochee County,chattahoochee-county-ga,1406,Georgia,13053,10684
Chattooga County,chattooga-county-ga,1406,Georgia,13055,24790
Cherokee County,cherokee-county-ga,1406,Georgia,13057,254149
Clarke County,clarke-county-ga,1406,Georgia,13059,127330
Clay County,clay-county-ga,1406,Georgia,13061,2887
Clayton County,clayton-county-ga,1406,Georgia,13063,289615
Clinch County,clinch-county-ga,1406,Georgia,13065,6648
Cobb County,cobb-county-ga,1406,Georgia,13067,756865
Coffee County,coffee-county-ga,1406,Georgia,13069,43093
Colquitt County,colquitt-county-ga,1406,Georgia,13071,45592
Columbia County,columbia-county-ga,1406,Georgia,13073,154291
Cook County,cook-county-ga,1406,Georgia,13075,17162
Coweta County,coweta-county-ga,1406,Georgia,13077,145864
Crawford County,crawford-county-ga,1406,Georgia,13079,12318
Crisp County,crisp-county-ga,1406,Georgia,13081,22601
Dade County,dade-county-ga,1406,Georgia,13083,16226
Dawson County,dawson-county-ga,1406,Georgia,13085,25083
Decatur County,decatur-county-ga,1406,Georgia,13087,26575
DeKalb County,dekalb-county-ga,1406,Georgia,13089,756558
Dodge County,dodge-county-ga,1406,Georgia,13091,20705
Dooly County,dooly-county-ga,1406,Georgia,13093,13706
Dougherty County,dougherty-county-ga,1406,Georgia,13095,91243
Douglas County,douglas-county-ga,1406,Georgia,13097,145331
Early County,early-county-ga,1406,Georgia,13099,10247
Echols County,echols-county-ga,1406,Georgia,13101,4000
Effingham County,effingham-county-ga,1406,Georgia,13103,62190
Elbert County,elbert-county-ga,1406,Georgia,13105,19120
Emanuel County,emanuel-county-ga,1406,Georgia,13107,22612
Evans County,evans-county-ga,1406,Georgia,13109,10721
Fannin County,fannin-county-ga,1406,Georgia,13111,25964
Fayette County,fayette-county-ga,1406,Georgia,13113,113459
Floyd County,floyd-county-ga,1406,Georgia,13115,97927
Forsyth County,forsyth-county-ga,1406,Georgia,13117,236612
Franklin County,franklin-county-ga,1406,Georgia,13119,23023
