term_id,GEOID,county_name,state_name,slug,state_id,state_term_id,census_2018_pop,pop_density_land,area_total,area_land,area_water,housing_units,pop_density_housing
1759,"0500000US08063","Kit Carson County","Colorado","kit-carson-county-co","CO",1401,7163,3.8,2161.69,".87,2160.82,3527,1.6
1760,"0500000US08065","Lake County","Colorado","lake-county-co","CO",1401,7824,19.4,383.91,7,376.91,4271,11.3
1761,"0500000US08067","La Plata County","Colorado","la-plata-county-co","CO",1401,56310,30.3,1699.71,7.63,1692.08,25860,15.3
1762,"0500000US08069","Larimer County","Colorado","larimer-county-co","CO",1401,350518,115.4,2633.95,37.95,2596,132722,51.1
1763,"0500000US08071","Las Animas County","Colorado","las-animas-county-co","CO",1401,14503,3.2,4775.35,2.68,4772.67,8217,1.7
1764,"0500000US08073","Lincoln County","Colorado","lincoln-county-co","CO",1401,5610,2.1,2586.42,8.8,2577.63,2420,".9
1765,"0500000US08075","Logan County","Colorado","logan-county-co","CO",1401,21528,12.4,1844.86,6.32,1838.55,8981,4.9
1766,"0500000US08077","Mesa County","Colorado","mesa-county-co","CO",1401,153207,44.1,3341.12,12.15,3328.97,62644,18.8
1767,"0500000US08079","Mineral County","Colorado","mineral-county-co","CO",1401,776,".8,877.68,2.02,875.67,1201,1.4
1768,"0500000US08081","Moffat County","Colorado","moffat-county-co","CO",1401,13188,2.9,4750.91,7.62,4743.29,6196,1.3
1769,"0500000US08083","Montezuma County","Colorado","montezuma-county-co","CO",1401,26158,12.6,2040.15,10.62,2029.53,12094,6
1770,"0500000US08085","Montrose County","Colorado","montrose-county-co","CO",1401,42214,18.4,2242.6,1.9,2240.7,18250,8.1
1771,"0500000US08087","Morgan County","Colorado","morgan-county-co","CO",1401,28558,22,1293.74,13.31,1280.43,11490,9
1772,"0500000US08089","Otero County","Colorado","otero-county-co","CO",1401,18432,14.9,1269.7,7.74,1261.96,8969,7.1
1773,"0500000US08091","Ouray County","Colorado","ouray-county-co","CO",1401,4833,8.2,542.21,".62,541.59,3083,5.7
1774,"0500000US08093","Park County","Colorado","park-county-co","CO",1401,18556,7.4,2210.65,16.81,2193.85,13947,6.4
1775,"0500000US08095","Phillips County","Colorado","phillips-county-co","CO",1401,4286,6.5,688.04,".12,687.93,2087,3
1776,"0500000US08097","Pitkin County","Colorado","pitkin-county-co","CO",1401,17950,17.7,973.2,2.5,970.7,12953,13.3
1777,"0500000US08099","Prowers County","Colorado","prowers-county-co","CO",1401,12164,7.7,1644.32,5.93,1638.39,5942,3.6
1778,"0500000US08101","Pueblo County","Colorado","pueblo-county-co","CO",1401,167529,66.7,2397.8,11.69,2386.1,69526,29.1
1779,"0500000US08103","Rio Blanco County","Colorado","rio-blanco-county-co","CO",1401,6336,2.1,3222.81,1.88,3220.93,3309,1
1780,"0500000US08105","Rio Grande County","Colorado","rio-grande-county-co","CO",1401,11250,13.1,912.34,".38,911.96,6630,7.3
1781,"0500000US08107","Routt County","Colorado","routt-county-co","CO",1401,25733,10,2368.14,6.11,2362.03,16303,6.9
1782,"0500000US08109","Saguache County","Colorado","saguache-county-co","CO",1401,6843,1.9,3170.24,1.72,3168.52,3843,1.2
