Bemidji,bemidji-mn,2800,Beltrami County,Minnesota,27007,16733,47.4830|-94.8788,Bemidji|America/Chicago|16733|413|1840006600
Bend,bend-or,3699,Deschutes County,Oregon,41017,103349,44.0562|-121.3087,Bend|America/Los_Angeles|103349|1105|1840018618
Benicia,benicia-ca,1716,Solano County,California,06095,28343,38.0704|-122.1541,Benicia|America/Los_Angeles|28343|847|1840018858
Bennington,bennington-vt,4289,Bennington County,Vermont,50003,,42.8746|-73.1852,Bennington|America/New_York||2061.3|1840002898
Benton,benton-ar,1656,Saline County,Arkansas,05125,35789,34.5770|-92.5716,Benton|America/Chicago|35789|619|1840013572
Benton,benton-il,2105,Franklin County,Illinois,17055,7642,38.0110|-88.9179,Benton|America/Chicago|7642|490|1840007543
Beverly,beverly-ma,2704,Essex County,Massachusetts,25009,41816,42.5681|-70.8627,Beverly|America/New_York|41816|1069|1840000411
Biddeford,biddeford-me,2675,York County,Maine,23031,21488,43.4674|-70.4512,Biddeford|America/New_York|21488|275|1840000342
Big Spring,big-spring-tx,4118,Howard County,Texas,48227,28624,32.2387|-101.4802,Big Spring|America/Chicago|28624|564|1840019471
Billings,billings-mt,3136,Yellowstone County,Montana,30111,120800,45.7889|-108.5503,Billings|America/Denver|120800|966|1840018496
Binghamton,binghamton-ny,3314,Broome County,New York,36007,150747,42.1014|-75.9093,Binghamton|America/New_York|150747|1664|1840000460
Bismarck,bismarck-nd,3480,Burleigh County,North Dakota,38015,97457,46.8140|-100.7695,Bismarck|America/Chicago|97457|833|1840001926
Blackfoot,blackfoot-id,2039,Bingham County,Idaho,16011,15382,43.1940|-112.3455,Blackfoot|America/Boise|15382|777|1840018650
Bloomington,bloomington-il,2134,McLean County,Illinois,17113,134892,40.4757|-88.9705,Bloomington|America/Chicago|134892|1111|1840007207
Bloomsburg,bloomsburg-pa,3745,Columbia County,Pennsylvania,42037,51356,41.0027|-76.4561,Bloomsburg|America/New_York|51356|1263|1840000811
Bluefield,bluefield-wv,4501,Mercer County,West Virginia,54055,41653,37.2605|-81.2155,Bluefield|America/New_York|41653|427|1840006401
Bluffton,bluffton-sc,3804,Beaufort County,South Carolina,45013,21085,32.2135|-80.9316,Bluffton|America/New_York|21085|156|1840015799
Bluffton,bluffton-in,2269,Wells County,Indiana,18179,10085,40.7426|-85.1730,Bluffton|America/Indiana/Indianapolis|10085|470|1840007178
Blytheville,blytheville-ar,1640,Mississippi County,Arkansas,05093,16388,35.9323|-89.9052,Blytheville|America/Chicago|16388|262|1840013390
Boise,boise-id,2034,Ada County,Idaho,16001,385218,43.6006|-116.2316,Boise|America/Boise|385218|1067|1840027142
Boone,boone-nc,3467,Watauga County,North Carolina,37189,25532,36.2111|-81.6669,Boone|America/New_York|25532|1178|1840015310
Borger,borger-tx,4121,Hutchinson County,Texas,48233,13065,35.6598|-101.4012,Borger|America/Chicago|13065|560|1840019083
Boston,boston-ma,2712,Suffolk County,Massachusetts,25025,4637537,42.3188|-71.0846,Boston|America/New_York|4637537|5471|1840000455
Boulder,boulder-co,1733,Boulder County,Colorado,08013,126054,40.0249|-105.2523,Boulder|America/Denver|126054|1574|1840018774
Bowling Green,bowling-green-ky,2589,Warren County,Kentucky,21227,90448,36.9721|-86.4367,Bowling Green|America/Chicago|90448|669|1840013265
Bowling Green,bowling-green-oh,3612,Wood County,Ohio,39173,32572,41.3773|-83.6500,Bowling Green|America/New_York|32572|969|1840000621
Bozeman,bozeman-mt,3096,Gallatin County,Montana,30031,53949,45.6828|-111.0548,Bozeman|America/Denver|53949|896|1840018509
Bradenton,bradenton-fl,1842,Manatee County,Florida,12081,56508,27.4900|-82.5743,Bradenton|America/New_York|56508|1524|1840014173
Bradford,bradford-pa,3768,McKean County,Pennsylvania,42083,11442,41.9604|-78.6413,Bradford|America/New_York|11442|957|1840000523
Brainerd,brainerd-mn,2814,Crow Wing County,Minnesota,27035,19574,46.3553|-94.1982,Brainerd|America/Chicago|19574|427|1840006644
Brattleboro,brattleboro-vt,4300,Windham County,Vermont,50025,,42.8588|-72.5628,Brattleboro|America/New_York||566.7|1840002940
Brazil,brazil-in,2190,Clay County,Indiana,18021,8078,39.5232|-87.1244,Brazil|America/Indiana/Indianapolis|8078|851|1840005744
Bremerton,bremerton-wa,4452,Kitsap County,Washington,53035,216480,47.5436|-122.7122,Bremerton|America/Los_Angeles|216480|557|1840018410
Brenham,brenham-tx,4243,Washington County,Texas,48477,16913,30.1585|-96.3962,Brenham|America/Chicago|16913|510|1840019604
Bridgeport,bridgeport-ct,1791,Fairfield County,Connecticut,09001,938406,41.1909|-73.1958,Bridgeport|America/New_York|938406|3524|1840004836
Bristol,bristol-ct,1792,Hartford County,Connecticut,09003,60223,41.6812|-72.9407,Bristol|America/New_York|60223|880|1840004772
Bristol,bristol-va,4398,Bristol city,Virginia,51520,16790,36.6179|-82.1607,Bristol|America/New_York|16790|502|1840003879
Brockton,brockton-ma,2711,Plymouth County,Massachusetts,25023,95672,42.0821|-71.0242,Brockton|America/New_York|95672|1732|1840000467
Brookhaven,brookhaven-ms,2926,Lincoln County,Mississippi,28085,10346,31.5803|-90.4432,Brookhaven|America/Chicago|10346|217|1840013862
Brookings,brookings-sd,3848,Brookings County,South Dakota,46011,24400,44.3022|-96.7859,Brookings|America/Chicago|24400|687|1840002506
Brooklyn,brooklyn-oh,3543,Cuyahoga County,Ohio,39035,10792,41.4349|-81.7498,Brooklyn|America/New_York|10792|980|1840000592
Brooklyn,brooklyn-ny,3334,Kings County,New York,36047,2629150,40.6501|-73.9496,Brooklyn|America/New_York|2629150|14606|1840034030
Brownsville,brownsville-tx,4035,Cameron County,Texas,48061,227883,25.9980|-97.4565,Brownsville|America/Matamoros|227883|534|1840019743
Brunswick,brunswick-ga,1932,Glynn County,Georgia,13127,54017,31.1450|-81.4740,Brunswick|America/New_York|54017|368|1840013875
Brunswick,brunswick-me,2662,Cumberland County,Maine,23005,,43.9077|-69.9456,Brunswick|America/New_York||1769.2|1840002549
Bryan,bryan-oh,3611,Williams County,Ohio,39171,9546,41.4711|-84.5489,Bryan|America/New_York|9546|583|1840000573
Bryan,bryan-tx,4025,Brazos County,Texas,48041,84021,30.6657|-96.3672,Bryan|America/Chicago|84021|712|1840019569
Buffalo,buffalo-ny,3325,Erie County,New York,36029,926261,42.9017|-78.8487,Buffalo|America/New_York|926261|2472|1840000386
Bullhead City,bullhead-city-az,1587,Mohave County,Arizona,04015,49531,35.1205|-114.5460,Bullhead City|America/Phoenix|49531|261|1840019748
Burlington,burlington-vt,4291,Chittenden County,Vermont,50007,108277,44.4877|-73.2314,Burlington|America/New_York|108277|1582|1840002310
Burlington,burlington-ia,2300,Des Moines County,Iowa,19057,28830,40.8072|-91.1249,Burlington|America/Chicago|28830|668|1840007164
Butler,butler-pa,3736,Butler County,Pennsylvania,42019,38447,40.8615|-79.8962,Butler|America/New_York|38447|1861|1840000857
Butte,butte-mt,3127,Silver Bow County,Montana,30093,30628,45.9020|-112.6571,Butte|America/Denver|30628|18|1840032850
Cadillac,cadillac-mi,2796,Wexford County,Michigan,26165,11792,44.2495|-85.4139,Cadillac|America/Detroit|11792|535|1840002512
Camarillo,camarillo-ca,1724,Ventura County,California,06111,74682,34.2230|-119.0323,Camarillo|America/Los_Angeles|74682|1331|1840019201
Cambridge,cambridge-oh,3555,Guernsey County,Ohio,39059,14911,40.0221|-81.5868,Cambridge|America/New_York|14911|632|1840007259
Camden,camden-ar,1645,Ouachita County,Arkansas,05103,10321,33.5671|-92.8466,Camden|America/Chicago|10321|258|1840013736
Camdenton,camdenton-mo,2980,Camden County,Missouri,29029,3964,38.0121|-92.7500,Camdenton|America/Chicago|3964|286|1840007520
Canandaigua,canandaigua-ny,3345,Ontario County,New York,36069,10289,42.8885|-77.2805,Canandaigua|America/New_York|10289|864|1840000392
Canon City,canon-city-co,1749,Fremont County,Colorado,08043,27368,38.4429|-105.2204,Canon City|America/Denver|27368|513|1840018855
Canton,canton-il,2106,Fulton County,Illinois,17057,13972,40.5632|-90.0409,Canton|America/Chicago|13972|681|1840007212
Canton,canton-oh,3601,Stark County,Ohio,39151,271184,40.8076|-81.3677,Canton|America/New_York|271184|1060|1840000963
Canton,canton-ga,1897,Cherokee County,Georgia,13057,27936,34.2469|-84.4902,Canton|America/New_York|27936|594|1840014703
Cape Coral,cape-coral-fl,1837,Lee County,Florida,12071,630134,26.6444|-81.9956,Cape Coral|America/New_York|630134|670|1840015130
Cape Girardeau,cape-girardeau-mo,2981,Cape Girardeau County,Missouri,29031,54588,37.3108|-89.5596,Cape Girardeau|America/Chicago|54588|521|1840007598
Carbondale,carbondale-il,2116,Jackson County,Illinois,17077,67807,37.7220|-89.2238,Carbondale|America/Chicago|67807|578|1840007560
Carlisle,carlisle-pa,3747,Cumberland County,Pennsylvania,42041,19259,40.1999|-77.2042,Carlisle|America/New_York|19259|1344|1840001386
Carlsbad,carlsbad-nm,3286,Eddy County,New Mexico,35015,32848,32.4067|-104.2376,Carlsbad|America/Denver|32848|380|1840019444
Carmi,carmi-il,2174,White County,Illinois,17193,5281,38.0857|-88.1727,Carmi|America/Chicago|5281|766|1840007525
Carroll,carroll-ia,2285,Carroll County,Iowa,19027,9758,42.0699|-94.8647,Carroll|America/Chicago|9758|665|1840000490
Carrollton,carrollton-ga,1891,Carroll County,Georgia,13045,47140,33.5818|-85.0837,Carrollton|America/New_York|47140|463|1840014801
Carson City,carson-city-nv,3246,Carson City,Nevada,32510,57525,39.1512|-119.7474,Carson City|America/Los_Angeles|57525|146|1840003826
Cartersville,cartersville-ga,1877,Bartow County,Georgia,13015,55794,34.1632|-84.8007,Cartersville|America/New_York|55794|278|1840014701
Casa Grande,casa-grande-az,1590,Pinal County,Arizona,04021,58632,32.9070|-111.7624,Casa Grande|America/Phoenix|58632|194|1840019364
Casper,casper-wy,4613,Natrona County,Wyoming,56025,67462,42.8421|-106.3208,Casper|America/Denver|67462|842|1840038324
Celina,celina-oh,3579,Mercer County,Ohio,39107,11139,40.5551|-84.5629,Celina|America/New_York|11139|797|1840007210
Centerville,centerville-ia,2275,Appanoose County,Iowa,19007,5300,40.7294|-92.8718,Centerville|America/Chicago|5300|436|1840001006
Chambersburg,chambersburg-pa,3754,Franklin County,Pennsylvania,42055,52418,39.9315|-77.6556,Chambersburg|America/New_York|52418|1164|1840001410
Chanute,chanute-ks,2437,Neosho County,Kansas,20133,8994,37.6697|-95.4619,Chanute|America/Chicago|8994|498|1840001694
Charleston,charleston-sc,3807,Charleston County,South Carolina,45019,616085,32.8137|-79.9643,Charleston|America/New_York|616085|477|1840015163
Charleston,charleston-wv,4493,Kanawha County,West Virginia,54039,142858,38.3484|-81.6323,Charleston|America/New_York|142858|587|1840006196
Charlotte,charlotte-nc,3432,Mecklenburg County,North Carolina,37119,1467362,35.2079|-80.8303,Charlotte|America/New_York|1467362|1083|1840014557
Charlottesville,charlottesville-va,4400,Charlottesville city,Virginia,51540,102016,38.0375|-78.4855,Charlottesville|America/New_York|102016|1809|1840001678
Chattanooga,chattanooga-tn,3942,Hamilton County,Tennessee,47065,407182,35.0657|-85.2488,Chattanooga|America/New_York|407182|483|1840014569
Cheboygan,cheboygan-mi,2729,Cheboygan County,Michigan,26031,4371,45.6415|-84.4685,Cheboygan|America/Detroit|4371|267|1840002047
Cherry Hill,cherry-hill-nj,3260,Camden County,New Jersey,34007,,39.9348|-75.0307,Cherry Hill|America/New_York||229.0|1840033244
Chesterton,chesterton-in,2243,Porter County,Indiana,18127,13503,41.5995|-87.0549,Chesterton|America/Chicago|13503|558|1840009267
Cheyenne,cheyenne-wy,4611,Laramie County,Wyoming,56021,78728,41.1406|-104.7926,Cheyenne|America/Denver|78728|866|1840018713
Chicago,chicago-il,2093,Cook County,Illinois,17031,8675982,41.8373|-87.6861,Chicago|America/Chicago|8675982|4613|1840000494
Chickasha,chickasha-ok,3639,Grady County,Oklahoma,40051,15974,35.0410|-97.9472,Chickasha|America/Chicago|15974|285|1840019169
Chico,chico-ca,1672,Butte County,California,06007,106268,39.7574|-121.8150,Chico|America/Los_Angeles|106268|1082|1840018778
Chillicothe,chillicothe-oh,3596,Ross County,Ohio,39141,31671,39.3393|-82.9937,Chillicothe|America/New_York|31671|796|1840007369
Chillicothe,chillicothe-mo,3024,Livingston County,Missouri,29117,9787,39.7953|-93.5498,Chillicothe|America/Chicago|9787|522|1840007302
